Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-17,SBIN,EQ,196.5,198.45,198.65,191.5,193.45,193.1,193.46,54788249,1059952958620000.1,278249,15925259,0.2907
2020-08-18,SBIN,EQ,193.1,193.8,195.75,191.7,195.1,195.1,193.66,46295650,896542003600000.0,215268,7970561,0.1722
2020-08-19,SBIN,EQ,195.1,196.4,200.3,195.9,197.2,197.05,198.53,59302164,1177344788045000.0,265310,10065279,0.1697
2020-08-20,SBIN,EQ,197.05,194.0,196.35,193.25,194.95,194.75,194.88,37505379,730894174490000.0,193765,7719774,0.20579999999999998
2020-08-21,SBIN,EQ,194.75,199.0,201.5,197.65,198.1,198.4,199.63,68047789,1358454089575000.0,304905,14003071,0.20579999999999998
2020-08-24,SBIN,EQ,198.4,200.0,202.8,198.6,201.05,201.45,200.76,53866579,1081419664675000.0,250904,11069743,0.20550000000000002
2020-08-25,SBIN,EQ,201.45,204.0,208.45,202.7,208.25,207.95,206.34,105397006,2174812754795000.0,475915,24003422,0.2277
2020-08-26,SBIN,EQ,207.95,208.5,210.35,206.15,209.9,209.85,208.62,66750983,1392575921585000.0,304925,14858804,0.22260000000000002
2020-08-27,SBIN,EQ,209.85,210.5,216.5,210.5,216.0,215.65,214.22,80999489,1735174978530000.0,450426,20980013,0.259
2020-08-28,SBIN,EQ,215.65,217.0,225.9,216.8,225.4,224.85,222.03,95983850,2131162277795000.0,420611,19675199,0.20500000000000002
2020-08-31,SBIN,EQ,224.85,231.55,231.55,210.35,211.9,212.0,219.31,119990567,2631551580170000.0,562903,24560366,0.2047
2020-09-01,SBIN,EQ,212.0,213.1,218.9,211.2,218.7,218.1,215.58,75048317,1617922443475000.0,330635,10939215,0.1458
2020-09-02,SBIN,EQ,218.1,218.25,219.0,212.3,216.3,216.25,214.67,47608719,1022004444835000.0,224862,6554056,0.1377
2020-09-03,SBIN,EQ,216.25,217.5,218.25,212.3,213.3,213.15,214.54,38595597,828030662365000.0,195109,9594317,0.2486
2020-09-04,SBIN,EQ,213.15,210.0,212.3,205.9,207.5,206.6,208.61,54435819,1135601101770000.0,261047,10083849,0.1852
2020-09-07,SBIN,EQ,206.6,207.5,209.65,205.4,208.25,207.9,207.62,35687677,740944152705000.0,185712,3495554,0.09789999999999999
2020-09-08,SBIN,EQ,207.9,207.9,208.5,202.9,203.25,204.05,206.55,34147081,705294237280000.0,168151,4865434,0.14250000000000002
2020-09-09,SBIN,EQ,204.05,201.1,201.4,192.5,195.7,194.85,195.68,72716962,1422900065870000.0,414595,19860833,0.2731
2020-09-10,SBIN,EQ,194.85,197.7,201.45,195.2,198.55,198.15,198.48,67790247,1345525709910000.0,305442,8109659,0.11960000000000001
2020-09-11,SBIN,EQ,198.15,198.55,203.85,197.0,203.7,202.7,199.89,48488142,969231682554999.9,233409,5201360,0.1073
2020-09-14,SBIN,EQ,202.7,205.9,206.2,197.35,198.2,198.5,201.65,63606706,1282648329495000.0,299382,13449014,0.2114
2020-09-15,SBIN,EQ,198.5,199.9,201.0,197.1,199.8,200.15,199.05,51762796,1030343269525000.0,193091,12873389,0.2487
2020-09-16,SBIN,EQ,200.15,199.85,200.05,196.25,198.0,198.2,198.06,52407160,1037976843140000.0,348569,14578240,0.2782
2020-09-17,SBIN,EQ,198.2,197.0,198.0,195.0,195.7,195.45,196.19,41226058,808795175150000.0,297990,11413746,0.27690000000000003
