,Unnamed: 0,txt,score
90,90,"Only realistic companies to invest in power sector
1. Reliance Industries
2. Tata Power
3. JSW Energy
Other than th… https://t.co/CoOJk3Th6O",0.2732
91,91,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
92,92,Reliance Industries raises $4 billion in US dollar bonds,0.0
93,93,"RT @BigBreakingNow: Reliance Industries

Another block of 210,083 shares at 2437 worth 51.19 crore rupees

Checkout our website for all the…",0.0516
94,94,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
95,95,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
96,96,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
97,97,RT @Breakingviews: Mukesh Ambani’s $220 billion Reliance Industries has issued a 40-year bond. Bagging cheap funding now looks smart. But a…,0.2144
98,98,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
99,99,"Reliance Industries Raises | $4 bln in Largest Dollar Bond issue From India
https://t.co/6eeYS1BYJH",0.0
