,CreateAt,TweetText
55,2022-05-04 16:36:28+00:00,Why shouldn't you purchase KCB at sh 37 ??? @WillisOwiti @AdoyoEvans @coldtusker @cheruiyotkb @oloojl @ChiboliS… https://t.co/N8YnQYcZQ6
56,2022-05-04 16:34:21+00:00,"NSE Index monthly returns ending 2022-05-04
#NIFTY https://t.co/dJiUVvGTLi"
57,2022-05-04 16:31:15+00:00,"RT @ErikSolheim: Anita from Jharkand whose mother is a daily worker represents India 🇮🇳. Anita is going to play FiFA U- 17 WorldCup team, a…"
58,2022-05-04 16:30:33+00:00,"2022-05-04
McClellan oscillator: (Based on Ratio adjusted NSE advance-decline issues) -66.88 https://t.co/MNIYPo8KSo"
59,2022-05-04 16:29:24+00:00,Desi MO (McClellans Oscillator for NSE) – 4th MAY 2022 https://t.co/Sayd1n3vZ3
60,2022-05-04 16:28:14+00:00,"RT @themukulagrawal: Will you apply for LIC IPO? 
.
.
@LICIndiaForever

#lic #licipo #ipo #liciponews #licipodetails #licipo2022   #bse #ns…"
61,2022-05-04 16:23:53+00:00,NSE BULK DEAL/4-May-22/ JKIL/J.Kumar Infraprojects Lim/ABAKKUS GROWTH FUND-2/BUY/2005000/225.10
62,2022-05-04 16:23:32+00:00,@TataConsumer @AdaniOnline @IIFLWEALTH MAS Financial Services: Result is in-line with expectations… https://t.co/jZTFlUSvuo
63,2022-05-04 16:21:43+00:00,"LIC IPO DAY 1 : IPO SUBSCRIBED 67 % ON DAY

QIB - 0.33 TIMES
NON RETAIL -0.27 TIMES
RETAIL-0.60 TIMES
EMPLOYEES-1.1… https://t.co/hFnfNrceq0"
64,2022-05-04 16:20:44+00:00,"RT @StockProOnline: ❇️Keep on Radar, Life time High #breakoutstocks 💹🔥🔥

https://t.co/zMsBc9p3RV

📢 DON'T FORGET TO LIKE👍 | SHARE | SUBSCRI…"
65,2022-05-04 16:18:59+00:00,"GHCL Limited

#sharemarket #stockmarket #nifty #sensex #indianstockmarket #investing #investment #NSE #BSE #trading… https://t.co/5RLjs7zA2O"
